"filename", "language", "JavaScript JSX", "JSON", "JSON with Comments", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\Codding\NEXT-js\lexis-portal\src\app\page.js", "JavaScript JSX", 319, 0, 0, 0, 0, 13, 19, 351
"d:\Codding\NEXT-js\lexis-portal\src\components\cases\AccusedTab.js", "JavaScript JSX", 136, 0, 0, 0, 0, 0, 13, 149
"d:\Codding\NEXT-js\lexis-portal\src\components\cases\CaseForm.js", "JavaScript JSX", 368, 0, 0, 0, 0, 4, 19, 391
"d:\Codding\NEXT-js\lexis-portal\src\components\cases\CitationsTab.js", "JavaScript JSX", 112, 0, 0, 0, 0, 0, 9, 121
"d:\Codding\NEXT-js\lexis-portal\src\components\cases\NotesTab.js", "JavaScript JSX", 119, 0, 0, 0, 0, 0, 10, 129
"d:\Codding\NEXT-js\lexis-portal\src\components\cases\ProceedingsTab.js", "JavaScript JSX", 136, 0, 0, 0, 0, 0, 10, 146
"d:\Codding\NEXT-js\lexis-portal\src\components\dashboard\IntelligenceFeed.js", "JavaScript JSX", 317, 0, 0, 0, 0, 14, 25, 356
"d:\Codding\NEXT-js\lexis-portal\src\components\dashboard\Weeklyoutlook.js", "JavaScript JSX", 259, 0, 0, 0, 0, 9, 24, 292
"d:\Codding\NEXT-js\lexis-portal\src\components\layout\Sidebar.js", "JavaScript JSX", 91, 0, 0, 0, 0, 3, 7, 101
"d:\Codding\NEXT-js\lexis-portal\src\components\layout\Topbar.js", "JavaScript JSX", 172, 0, 0, 0, 0, 2, 16, 190
"d:\Codding\NEXT-js\lexis-portal\src\components\ui\ToastProvider.js", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 3, 24
"d:\Codding\NEXT-js\lexis-portal\src\components\ui\index.js", "JavaScript JSX", 244, 0, 0, 0, 0, 11, 16, 271
"d:\Codding\NEXT-js\lexis-portal\src\hooks\useAuth.js", "JavaScript JSX", 50, 0, 0, 0, 0, 0, 9, 59
"d:\Codding\NEXT-js\lexis-portal\src\lib\api.js", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 6, 30
"d:\Codding\NEXT-js\lexis-portal\src\lib\auth.js", "JavaScript JSX", 40, 0, 0, 0, 0, 0, 9, 49
"d:\Codding\NEXT-js\lexis-portal\src\lib\db.js", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 9, 29
"d:\Codding\NEXT-js\lexis-portal\src\middleware.js", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 9, 28
"d:\Codding\NEXT-js\lexis-portal\src\models\BookReminder.js", "JavaScript JSX", 32, 0, 0, 0, 0, 0, 7, 39
"d:\Codding\NEXT-js\lexis-portal\src\models\Case.js", "JavaScript JSX", 84, 0, 0, 0, 0, 0, 9, 93
"d:\Codding\NEXT-js\lexis-portal\src\models\JudgmentAlert.js", "JavaScript JSX", 65, 0, 0, 0, 0, 0, 4, 69
"d:\Codding\NEXT-js\lexis-portal\src\models\User.js", "JavaScript JSX", 29, 0, 0, 0, 0, 0, 7, 36
"d:\Codding\NEXT-js\lexis-portal\src\utils\api.js", "JavaScript JSX", 28, 0, 0, 0, 0, 0, 3, 31
"d:\Codding\NEXT-js\lexis-portal\src\utils\helpers.js", "JavaScript JSX", 51, 0, 0, 0, 0, 0, 9, 60
"d:\Codding\NEXT-js\lexis-portal\tailwind.config.js", "JavaScript JSX", 75, 0, 0, 0, 0, 6, 0, 81
"Total", "-", 6182, 7476, 15, 208, 241, 117, 655, 14894
